"","Total_CO2_capture","year","file_id","group"
"196",2.70867762,3.13621258244546,2,"6"
"197",2.72010068,3.16957762557078,2,"6"
"198",2.73154816,3.20294266869609,2,"6"
"199",2.74291028,3.23630136986301,2,"6"
"200",2.75416504,3.26966007102993,2,"6"
"201",2.76539824,3.30301877219685,2,"6"
"202",2.77654828,3.33640918315576,2,"6"
"203",2.78794296,3.36976788432268,2,"6"
"204",2.79936008,3.4031265854896,2,"6"
"205",2.81067182,3.43648528665652,2,"6"
"206",2.8219422,3.46984398782344,2,"6"
"207",2.83332742,3.50320268899036,2,"6"
"208",2.8446253,3.53659309994926,2,"6"
"209",2.85573002,3.56995180111618,2,"6"
"210",2.86679338,3.6033105022831,2,"6"
"211",2.87781538,3.63666920345003,2,"6"
"212",2.88877402,3.67002790461695,2,"6"
"213",2.8997155,3.70338660578387,2,"6"
"214",2.91068382,3.73677701674277,2,"6"
"215",2.921501,3.77013571790969,2,"6"
"216",2.93225482,3.80349441907661,2,"6"
"217",2.94299148,3.83685312024353,2,"6"
"218",2.9536452,3.87021182141045,2,"6"
"219",2.96432378,3.90357052257737,2,"6"
"220",2.97491964,3.93696093353628,2,"6"
"221",2.98542376,3.9703196347032,2,"6"
"222",2.99592436,4.00367833587012,2,"6"
"223",3.00620584,4.03703703703704,2,"6"
"224",3.0162682,4.07039573820396,2,"6"
"225",3.02630944,4.10375443937088,2,"6"
"226",3.03635134,4.13714485032978,2,"6"
"227",3.04637212,4.1705035514967,2,"6"
"228",3.05626178,4.20386225266362,2,"6"
"229",3.06610832,4.23722095383054,2,"6"
"230",3.07599974,4.27057965499746,2,"6"
"231",3.08580404,4.30393835616438,2,"6"
"232",3.09554322,4.33732876712329,2,"6"
"233",3.10556928,4.37068746829021,2,"6"
"234",3.11559622,4.40404616945713,2,"6"
"235",3.12553604,4.43740487062405,2,"6"
"236",3.13547674,4.47076357179097,2,"6"
"237",3.14537432,4.50412227295789,2,"6"
"238",3.15518478,4.53751268391679,2,"6"
"239",3.16501812,4.57087138508371,2,"6"
"240",3.17478656,4.60423008625063,2,"6"
"241",3.18448988,4.63758878741755,2,"6"
"242",3.19415008,4.67094748858448,2,"6"
"243",3.20376716,4.7043061897514,2,"6"
"244",3.21338512,4.7376966007103,2,"6"
"245",3.22293818,4.77105530187722,2,"6"
"246",3.23242612,4.80441400304414,2,"6"
"247",3.24191494,4.83777270421106,2,"6"
"248",3.25142686,4.87113140537798,2,"6"
"249",3.26085166,4.9044901065449,2,"6"
"250",3.27018934,4.9378805175038,2,"6"
"251",3.27959412,4.97123921867073,2,"6"
"252",3.28891178,5.00459791983765,2,"6"
"253",0.00255354,0,3,"6"
"254",0.161779002,0.0250229895991882,3,"6"
"255",0.33619674,0.0500459791983765,3,"6"
"256",0.49457188,0.0750688102486048,3,"6"
"257",0.6376689,0.100091958396753,3,"6"
"258",0.76628178,0.125114789446981,3,"6"
"259",0.88162602,0.150137937595129,3,"6"
"260",0.98368468,0.175160768645358,3,"6"
"261",1.07378326,0.200183916793506,3,"6"
"262",1.1528297,0.225206747843734,3,"6"
"263",1.22166968,0.250229895991882,3,"6"
"264",1.28121554,0.275252727042111,3,"6"
"265",1.33239568,0.300275558092339,3,"6"
"266",1.3760395,0.325298072044647,3,"6"
"267",1.4133009,0.350320268899036,3,"6"
"268",1.44512588,0.375345636732623,3,"6"
"269",1.47186864,0.400367833587012,3,"6"
"270",1.49469078,0.4253900304414,3,"6"
"271",1.5144987,0.450412227295789,3,"6"
"272",1.532058,0.475437595129376,3,"6"
"273",1.54798908,0.500459791983765,3,"6"
"274",1.56288374,0.525481988838153,3,"6"
"275",1.57715998,0.550504185692542,3,"6"
"276",1.59121402,0.575529553526129,3,"6"
"277",1.60519964,0.600551750380518,3,"6"
"278",1.61922684,0.625573947234906,3,"6"
"279",1.63303162,0.650596144089295,3,"6"
"280",1.6468122,0.675621511922882,3,"6"
"281",1.66050456,0.70064370877727,3,"6"
"282",1.6741703,0.725665905631659,3,"6"
"283",1.68779204,0.750688102486048,3,"6"
"284",1.70130136,0.775713470319635,3,"6"
"285",1.71476426,0.800735667174023,3,"6"
"286",1.72820296,0.825757864028412,3,"6"
"287",1.74152924,0.8507800608828,3,"6"
"288",1.75480932,0.875805428716388,3,"6"
"289",1.76804518,0.900827625570776,3,"6"
"290",1.78130084,0.925849822425165,3,"6"
"291",1.79448808,0.950872019279554,3,"6"
"292",1.80752132,0.97589738711314,3,"6"
"293",1.82053014,1.00091958396753,3,"6"
"294",1.83325076,1.02594178082192,3,"6"
"295",1.84588118,1.05096397767631,3,"6"
"296",1.85846738,1.07598934550989,3,"6"
"297",1.87098538,1.10101154236428,3,"6"
"298",1.88343738,1.12603373921867,3,"6"
"299",1.89586518,1.15105593607306,3,"6"
"300",1.90822456,1.17608130390665,3,"6"
"301",1.92049594,1.20110350076104,3,"6"
"302",1.93270132,1.22612569761542,3,"6"
"303",1.9450343,1.25114789446981,3,"6"
"304",1.95714948,1.2761732623034,3,"6"
"305",1.96924046,1.30119545915779,3,"6"
"306",1.98126324,1.32621765601218,3,"6"
"307",1.99335202,1.35123985286657,3,"6"
"308",2.0055288,1.37626204972095,3,"6"
"309",2.01759338,1.40128741755454,3,"6"
"310",2.02963596,1.42630961440893,3,"6"
"311",2.04165654,1.45133181126332,3,"6"
"312",2.05356492,1.47635400811771,3,"6"
"313",2.0654535,1.50137937595129,3,"6"
"314",2.0772719,1.52640157280568,3,"6"
"315",2.0890925,1.55142376966007,3,"6"
"316",2.1009131,1.57644596651446,3,"6"
"317",2.11257772,1.60147133434805,3,"6"
"318",2.12417634,1.62649353120244,3,"6"
"319",2.13577496,1.65151572805682,3,"6"
"320",2.1473518,1.67653792491121,3,"6"
"321",2.15881864,1.7015632927448,3,"6"
"322",2.1702197,1.72658548959919,3,"6"
"323",2.18162076,1.75160768645358,3,"6"
"324",2.19293404,1.77662988330797,3,"6"
"325",2.20420354,1.80165525114155,3,"6"
"326",2.21542904,1.82667744799594,3,"6"
"327",2.22667676,1.85169964485033,3,"6"
"328",2.2378587,1.87672184170472,3,"6"
"329",2.24897486,1.90174720953831,3,"6"
"330",2.25998322,1.92676940639269,3,"6"
"331",2.2709918,1.95179160324708,3,"6"
"332",2.2819346,1.97681380010147,3,"6"
"333",2.29285562,2.00183916793506,3,"6"
"334",2.30362506,2.02686136478945,3,"6"
"335",2.31419672,2.05188356164384,3,"6"
"336",2.3247488,2.07690575849822,3,"6"
"337",2.3352329,2.10193112633181,3,"6"
"338",2.34569962,2.1269533231862,3,"6"
"339",2.35607636,2.15197552004059,3,"6"
"340",2.36647972,2.17699771689498,3,"6"
"341",2.37675152,2.20202308472856,3,"6"
"342",2.38704554,2.22704528158295,3,"6"
"343",2.39727598,2.25206747843734,3,"6"
"344",2.40744086,2.27708967529173,3,"6"
"345",2.41785236,2.30211504312532,3,"6"
"346",2.42791208,2.32713723997971,3,"6"
"347",2.43817024,2.35215943683409,3,"6"
"348",2.44847702,2.37718163368848,3,"6"
"349",2.45867424,2.40220700152207,3,"6"
"350",2.4688741,2.42722919837646,3,"6"
"351",2.47901038,2.45225139523085,3,"6"
"352",2.4891053,2.47727359208524,3,"6"
"353",2.49918086,2.50229895991882,3,"6"
"354",2.50923464,2.52732115677321,3,"6"
"355",2.51922726,2.5523433536276,3,"6"
"356",2.52917852,2.57736555048199,3,"6"
"357",2.53908842,2.60239091831558,3,"6"
"358",2.54897896,2.62741311516996,3,"6"
"359",2.55882814,2.65243531202435,3,"6"
"360",2.56863596,2.67745750887874,3,"6"
"361",2.57849042,2.70247970573313,3,"6"
"362",2.58821772,2.72750507356672,3,"6"
"363",2.59792566,2.75252727042111,3,"6"
"364",2.60759224,2.77754946727549,3,"6"
"365",2.61726146,2.80257166412988,3,"6"
"366",2.62682552,2.82759703196347,3,"6"
"367",2.63639222,2.85261922881786,3,"6"
"368",2.64591976,2.87764142567225,3,"6"
"369",2.65544994,2.90266362252664,3,"6"
"370",2.66498496,2.92768899036022,3,"6"
"371",2.67441284,2.95271118721461,3,"6"
"372",2.68382136,2.977733384069,3,"6"
"373",2.69319094,3.00275558092339,3,"6"
"374",2.7023832,3.02778094875698,3,"6"
"375",2.71152134,3.05280314561136,3,"6"
"376",2.72052814,3.07782534246575,3,"6"
"377",2.72953582,3.10284753932014,3,"6"
"378",2.73852238,3.12787290715373,3,"6"
"379",2.7474656,3.15289510400812,3,"6"
"380",2.7564097,3.1779236428209,3,"6"
"381",2.76526668,3.20294266869609,3,"6"
"382",2.77421254,3.22796169457128,3,"6"
"383",2.78304928,3.25298072044647,3,"6"
"384",2.79184268,3.27799974632166,3,"6"
"385",2.80061496,3.30301877219685,3,"6"
"386",2.80938812,3.32806950786403,3,"6"
"387",2.81825016,3.35308853373922,3,"6"
"388",2.82722308,3.37810755961441,3,"6"
"389",2.83615288,3.4031265854896,3,"6"
"390",2.84514956,3.42814561136479,3,"6"
"391",2.85408112,3.45316463723998,3,"6"
"392",2.86290334,3.47818366311517,3,"6"
"393",2.87174844,3.50320268899036,3,"6"
"394",2.88057242,3.52825342465753,3,"6"
"395",2.88935328,3.55327245053272,3,"6"
"396",2.89806924,3.57829147640791,3,"6"
"397",2.90678608,3.6033105022831,3,"6"
"398",2.9155038,3.6283295281583,3,"6"
"399",2.9241784,3.65334855403349,3,"6"
"400",2.93280988,3.67836757990868,3,"6"
"401",2.94144224,3.70338660578387,3,"6"
"402",2.95007548,3.72843734145104,3,"6"
"403",2.9586436,3.75345636732623,3,"6"
"404",2.9672346,3.77847539320142,3,"6"
"405",2.97580448,3.80349441907661,3,"6"
"406",2.98430946,3.8285134449518,3,"6"
